row_id,noise_distribution,slope,m,k,all,partition,random_1,random_(10*km),random_1000
13408302-28f2-497d-a93d-7a2af3655977,"uniform(-1,1)",0,3,5,0.03212121275067323,-0.13919546799449212,0.17265217962370144,0.006519868880504309,-0.00012518326995718254
6d5506b4-e9fc-4079-b201-f87bd630573a,"uniform(-1,1)",0,3,20,0.09372046790836186,0.014642039203720187,0.1810369597471914,0.00031978068606163326,-0.0002364261908790171
13b19d43-b075-4038-9266-e0ad8d2de585,"uniform(-1,1)",0,3,50,0.004272937602807713,-0.027010059651494348,-0.008878225875297473,-6.942293187039056e-05,2.1853165533219573e-05
adfc158d-186a-461c-b9b8-baed532a6404,"uniform(-1,1)",0,3,100,-0.04098304956827063,-0.004889182183163018,-0.014120899849174001,2.8777998502776785e-05,2.0046783590180065e-05
874ee752-7d37-4f45-803c-9646de376b54,"uniform(-1,1)",0,10,5,0.03636843895393807,-0.01697314022238737,0.2843496845606607,0.00015825582039617064,0.00010226067622828763
3aa39d8a-b8ba-4352-85be-93c1b8ea9a45,"uniform(-1,1)",0,10,20,0.032138021874901404,-0.006638156278799302,0.2560658630816013,7.794676352986668e-05,5.5593561191190355e-06
c5de10af-c836-4172-8c31-fc2eb0052425,"uniform(-1,1)",0,10,50,0.04037898506745245,0.0057962468566155265,-0.04959958647673758,-8.136868676352296e-05,3.8383664099758165e-05
3828995b-ec2a-4757-9736-e8dc378aa8c3,"uniform(-1,1)",0,10,100,0.0199557227292452,-0.000987002347821897,0.0545279877846776,-2.87093405773592e-06,-0.00011901977699060123
5b1bdfcf-659e-417e-a10e-c8d3f32ea04e,"uniform(-1,1)",0,20,5,-0.013757909493978098,0.008335131823744683,0.3423086681881389,-0.00032968655615470827,0.00020992840323225126
86e7ed27-4f32-4d83-80f2-886db3987129,"uniform(-1,1)",0,20,20,0.01757310300299242,0.004179256506380792,0.008842501788319253,4.4111395743444415e-05,-0.0002035858207850589
e51fb5b1-ce30-4266-b77d-83d990596d48,"uniform(-1,1)",0,20,50,-0.015455385676240161,0.000364455210827281,0.0006851613466743172,-1.1590571130434303e-05,1.739918487856599e-05
b8f7e6d9-3128-4c7a-a74d-108f018baa20,"uniform(-1,1)",0,20,100,0.01201753189169923,-2.6458150431188376e-06,-0.10523427198804944,-1.326605633111648e-06,4.313727209883235e-05
7ecdf6d3-b7ed-41c2-9929-7d5113533182,"uniform(-1,1)",1,3,5,0.1675566567559309,-0.08258185636268911,0.07506893310380305,0.0009861528682978404,-0.00012825095517721152
1f426e5c-cfe7-4fb0-a23a-05822b9a20c9,"uniform(-1,1)",1,3,20,0.028025927187457944,-0.015653003982165986,-0.07342947198544483,9.073320108143879e-05,-3.762872208423751e-05
d3b0e265-a772-40ab-a120-dcc2159321a5,"uniform(-1,1)",1,3,50,0.04989456311553855,0.01432686525588811,0.04408565524133251,1.0284292990325739e-05,-4.636210974182098e-05
84711ac0-15e2-4590-8a9c-b6640e7928c3,"uniform(-1,1)",1,3,100,0.0545079664731432,0.0036493496335315845,0.030406934477390735,2.16874587073701e-06,1.0615881562231477e-05
7a37bf59-e97d-480a-be3f-5c7a189daa40,"uniform(-1,1)",1,10,5,-0.056100075061962185,-0.06274047329116289,-0.13280488438294097,-0.0019164465121848107,0.00019108459112476828
4a906d98-eed3-4423-8d70-f1d1eca90d3b,"uniform(-1,1)",1,10,20,0.08671541928980693,-0.00831794775716943,-0.07657803375003366,0.0002310844976837756,0.0002993439333665304
2e207f4b-0751-4a8d-98bb-c8c121c7ac79,"uniform(-1,1)",1,10,50,-0.0280589647881463,0.00014154031303434053,-0.032283952937834814,6.009366501390223e-05,0.00011618693666368834
5e654b5a-48eb-446c-87ee-39c11962667a,"uniform(-1,1)",1,10,100,-0.020713767815491592,-0.0043051007438763556,-0.04910082225106038,-1.839818060328513e-05,-4.473203497334932e-06
8b624a32-6623-48e2-a1cc-26c5c9ea8eb0,"uniform(-1,1)",1,20,5,-0.0037917207104198325,0.1347141301597514,0.44310960079611017,0.00023206847474976922,-5.195047441106104e-05
c5fc4523-8a99-46cf-9c03-8053195098e5,"uniform(-1,1)",1,20,20,0.034292032420819164,-0.025359698331340403,0.13134584701504215,2.2468443553122497e-05,0.00026821174562509376
13db5659-5fbf-4e9d-a5e6-a4b7172e6aa7,"uniform(-1,1)",1,20,50,-0.0027523792998337022,-0.0023397425656992155,0.007605223621129031,-1.0189056665915741e-05,0.00010485158319206711
