row_id,noise_distribution,slope,m,k,all,partition,random_1,random_(10*km),random_1000
4f15326e-1a0c-42bc-9920-9f09617239fd,"uniform(-1,1)",0,3,5,-0.11839183987235646,-0.05571285856930318,-0.4670285689194505,-0.00426958290145564,0.0015150761986785083
c6a943ef-4be3-46b4-89dd-96316f7c66e1,"uniform(-1,1)",0,3,20,0.012903997970664442,0.007340291220852557,0.4704103506627729,-0.0006345271397001488,0.0003432323652975411
905663a9-aadd-4e25-acaf-b073f6677459,"uniform(-1,1)",0,3,50,0.011697858999921356,-0.010829847657138732,-0.6724748062335159,-0.003087972904352143,-0.000518171098295328
a219c17f-786e-4284-b39e-05e28b86f363,"uniform(-1,1)",0,3,100,0.052754145746061576,0.009277256801272948,0.3498342217917774,0.00039119270635196157,-0.0006671897803202653
444bd3d5-259e-4c30-bf9b-6fb5b818048b,"uniform(-1,1)",0,10,5,0.10234892044440835,0.07858834183948561,0.060588120797218495,-0.001341482997059109,-0.00043484660001458534
b94d197a-c6ad-40db-a949-d775cd648d7a,"uniform(-1,1)",0,10,20,-0.009527994314716872,0.011296353185814068,-0.007802162123795919,-0.00020341200459977893,2.961530089989721e-05
5b348049-adca-42a0-912e-53045f5c36ae,"uniform(-1,1)",0,10,50,0.0016728715990842037,-0.0021845753477431878,0.028198002803273198,3.10521256928209e-05,-0.0002661782596964299
f5dbba20-646f-436f-824c-383353f90740,"uniform(-1,1)",0,10,100,-0.028828270574104305,-0.0005867769531153842,-0.2790817584298489,1.1161606848358874e-05,1.06791524295477e-05
6e7860b7-b358-4442-8451-8190c095eaea,"uniform(-1,1)",0,20,5,0.02734370973065469,0.007919957355127256,0.024816046535662276,-0.00015190324196560565,0.00019352931062217643
29638fe0-b049-4556-ab7f-f55e351f9519,"uniform(-1,1)",0,20,20,-0.008273636959447096,-0.033963178147300224,0.002012407674635265,-6.648805124357532e-05,0.0002395450321773585
5b150b6a-b790-496d-b6e3-86424948e5e6,"uniform(-1,1)",0,20,50,0.009822122519893797,0.0001529661643789397,-0.33932277967848196,-1.0849458158941616e-05,5.207915919805406e-06
c7b96b55-6c63-4926-97ba-7fe40aebb13c,"uniform(-1,1)",0,20,100,0.0019486729728372407,-4.3990233890276766e-05,0.20736895944617376,-1.033375464910228e-05,-0.0005857214594914145
31d248cb-c02f-4903-a271-9a91d6c66dc1,"uniform(-1,1)",1,3,5,0.0923720911388703,-0.02498612012197543,-0.4584154454186804,-0.0006836584243998314,-0.0006836584243998314
936ff59b-6261-4b37-874e-1d535c6957db,"uniform(-1,1)",1,3,20,0.019631085881487056,0.010759968792193098,0.0384649902251597,3.240218580335963e-05,0.0004103372322082355
2be6e5ef-5316-4526-b9af-b19d8581d35a,"uniform(-1,1)",1,3,50,-0.08117261594068616,0.0005143302653314308,-0.45340497456403417,-0.00042368444343376943,-0.000661145443026423
8dd56a39-b5b8-4bc1-9181-b6a2b784d743,"uniform(-1,1)",1,3,100,0.07673131224342282,0.0024073537579532966,0.19689452633243798,0.00014435826772607463,0.00040879513446412385
bcf27e6c-f69c-45cd-8112-0010c0169554,"uniform(-1,1)",1,10,5,0.12992308053563034,-0.04718961606035839,0.10397544595578438,-6.92579821798267e-07,-2.8755476485578524e-06
5222344b-f3ae-4b5a-92c8-009d801e31e0,"uniform(-1,1)",1,10,20,-0.02764346515452258,0.018375317099408595,-0.5499990014203036,9.086622327347804e-07,-0.0003761235255972384
03b53cc5-09a3-4c50-b24b-ed66a1dd2a2c,"uniform(-1,1)",1,10,50,0.047729361182278454,-0.006782274067169358,-0.0829157170009813,-9.204024928266552e-05,0.0001767464769385496
2bc890d3-a626-44c9-9a81-7f7c531796b2,"uniform(-1,1)",1,10,100,-0.02465410473911401,-0.0019122361156925505,-0.3331750430924001,-7.78631796827245e-06,0.0009352283272990314
db6bd1d9-faf2-4859-89c2-70617296c3aa,"uniform(-1,1)",1,20,5,-0.013370271818450878,0.009647870846070161,0.021752156312832283,-6.072196811469227e-06,0.00019293870068259888
16e6de56-3784-477f-8da2-300646b71d55,"uniform(-1,1)",1,20,20,-0.018555169485567694,0.0025619524495736345,-0.25892687129491754,5.466815639870726e-06,-0.00025592562945694897
c1617370-297a-47c7-a5aa-b4008299daa3,"uniform(-1,1)",1,20,50,-0.02496248045335757,0.004478317960091127,0.15067348674350733,3.2064716957158623e-06,-0.00016134126397372717
9a4f4e70-ff08-46e1-b0c3-0b10640442ef,"uniform(-1,1)",1,20,100,-0.012708578361274266,0.0007562245230023634,-0.1770549145536153,4.610034517876782e-06,-7.840803267454566e-05
c246ab26-1a3f-4fee-ace7-b48e5facb122,"uniform(-1,1)",5,3,5,-0.18681964979404586,-0.1549988049684501,-1.3595194901923668,0.0029436380990621736,0.0017549976300061942
9e97433a-10a8-4e9e-958f-ca6f82a05e12,"uniform(-1,1)",5,3,20,-0.026730157315116243,0.008501290483872881,0.49696623997366984,0.0002552716739541161,8.702326495058088e-05
b8ad230e-14c4-4546-baf0-ebc593eab6c4,"uniform(-1,1)",5,3,50,-0.06415766920113453,0.0019425854134456078,0.013723442239730765,-2.7066301035105766e-05,-0.0017637170235230981
c731f67b-0358-4fa3-9464-523b6f126737,"uniform(-1,1)",5,3,100,-0.02555136044427575,-0.003929183896546284,0.521238799063622,0.00019684577782408397,0.00014096542991107186
898063e5-683c-4d25-ab7a-9748fa439bdd,"uniform(-1,1)",5,10,5,-0.09656568795705682,-0.13360116462303173,-0.0673712071778696,-0.00027546166660386007,0.0011032650505993224
0bbf4c74-4c32-40d9-bdd3-4918f07c8fd0,"uniform(-1,1)",5,10,20,0.06932744134347785,-0.01071733322981716,-0.08407395562821307,-0.00010109315165651722,0.000397193528779205
6696df8b-242a-4931-bcb2-b3e06941d5c4,"uniform(-1,1)",5,10,50,-0.004587368796884761,0.007276079764139132,-0.037483068439239764,4.918198310055466e-05,-0.00023391436559666579
bcb0a0b2-8da8-4d96-8ee8-b638bc209ffa,"uniform(-1,1)",5,10,100,-0.0014977681495020878,0.000300124295566917,-0.1315781210795901,1.6130687081616912e-05,0.000313457141756901
60b75878-9b8e-4271-94e7-9bf264f127b3,"uniform(-1,1)",5,20,5,0.04515061206903226,0.016250922030433657,0.08299942448301678,3.782004035990383e-05,-0.0003327430327684233
d4085541-ee9d-4fbf-b77e-10ab52fbabef,"uniform(-1,1)",5,20,20,-0.039949428684413396,-0.0037469154062689247,-0.14031874556207669,3.689502470405337e-05,-5.9238139587414196e-05
47e9946d-cbf9-4bb1-9d90-7190432a9f2a,"uniform(-1,1)",5,20,50,-0.034635972588072494,0.005994373790283128,-0.01938596325655062,3.941442456079081e-06,2.516621428583221e-05
2bdaec57-b6db-4066-b9a2-910562d74543,"uniform(-1,1)",5,20,100,-0.02964311017686659,0.0034386185893737764,-0.20773723257518562,-3.7815604247981582e-06,-0.00026197034957808896
50db726e-d9bd-4cbb-a3b7-279eb3f24e9f,"normal(0,.5^2)",0,3,5,-0.046072264057294726,0.05633798219549685,0.2542541672057839,0.0026914521070608155,-0.00016949387803658067
865c1d28-4621-43d6-bd2b-cbbdfc60001b,"normal(0,.5^2)",0,3,20,-0.021296456706487592,-0.004444665655729069,-0.2059999572740176,0.0007294633294386253,-0.00011155103282955341
82ba3a90-8539-4d8c-ad88-3dbd71af9b3e,"normal(0,.5^2)",0,3,50,-0.07830936818324236,0.018499776625499065,-0.5016586488105642,0.00017377147745603616,0.0002353550261647297
584d28af-cbcc-419e-b75a-a94efe93a233,"normal(0,.5^2)",0,3,100,0.01833894365892156,-0.0008578327018381477,-0.31120923123298877,9.952946951158337e-05,-0.00034612754596824447
949f3bd1-507d-4cb0-b362-cc0ab043272a,"normal(0,.5^2)",0,10,5,-0.0395996714854805,-0.08920641512170378,-0.16709411754634895,-3.793078546739451e-05,-0.0001977140054571086
